field,all_fields,all_males,all_females,lifesci,lifesci_males,lifesci_females,physsci,physsci_males,physsci_females,mathcomp,mathcomp_males,mathcomp_females,psych,psych_males,psych_females,eng,eng_males,eng_females,edu,edu_males,edu_females,arts,arts_males,arts_females,other,other_males,other_females,all_fields,all_males,all_females,lifesci,lifesci_males,lifesci_females,physsci,physsci_males,physsci_females,mathcomp,mathcomp_males,mathcomp_females,psych,psych_males,psych_females,eng,eng_males,eng_females,edu,edu_males,edu_females,arts,arts_males,arts_females,other,other_males,other_females,all_fields,all_males,all_females,lifesci,lifesci_males,lifesci_females,physsci,physsci_males,physsci_females,mathcomp,mathcomp_males,mathcomp_females,psych,psych_males,psych_females,eng,eng_males,eng_females,edu,edu_males,edu_females,arts,arts_males,arts_females,other,other_males,other_females,all_fields,all_males,all_females,lifesci,lifesci_males,lifesci_females,physsci,physsci_males,physsci_females,mathcomp,mathcomp_males,mathcomp_females,psych,psych_males,psych_females,eng,eng_males,eng_females,edu,edu_males,edu_females,arts,arts_males,arts_females,other,other_males,other_females,all_fields,all_males,all_females,lifesci,lifesci_males,lifesci_females,physsci,physsci_males,physsci_females,mathcomp,mathcomp_males,mathcomp_females,psych,psych_males,psych_females,eng,eng_males,eng_females,edu,edu_males,edu_females,arts,arts_males,arts_females,other,other_males,other_females,all_fields,all_males,all_females,lifesci,lifesci_males,lifesci_females,physsci,physsci_males,physsci_females,mathcomp,mathcomp_males,mathcomp_females,psych,psych_males,psych_females,eng,eng_males,eng_females,edu,edu_males,edu_females,arts,arts_males,arts_females,other,other_males,other_females,all_fields,all_males,all_females,lifesci,lifesci_males,lifesci_females,physsci,physsci_males,physsci_females,mathcomp,mathcomp_males,mathcomp_females,psych,psych_males,psych_females,eng,eng_males,eng_females,edu,edu_males,edu_females,arts,arts_males,arts_females,other,other_males,other_females
year,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1985,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1990,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,1995,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2005,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015
number,"31,295","20,552","10,743","5,822","3,946","1,876","3,491","2,922",569,998,859,139,"6,027","3,517","2,510","3,166","2,968",198,"6,733","3,242","3,491","3,406","2,014","1,392","1,652","1,084",568,"36,064","22,960","13,104","6,655","4,163","2,492","4,212","3,421",791,"1,597","1,329",268,"6,331","3,378","2,953","4,894","4,479",415,"6,509","2,758","3,751","3,854","2,188","1,666","2,012","1,244",768,"41,576","25,160","16,416","7,956","4,598","3,358","4,519","3,499","1,020","2,178","1,727",451,"6,906","3,380","3,526","5,966","5,270",696,"6,638","2,546","4,092","5,034","2,695","2,339","2,379","1,445",934,"41,296","23,165","18,131","8,611","4,568","4,043","4,063","3,041","1,022","1,907","1,507",400,"7,443","3,370","4,073","5,297","4,459",838,"6,439","2,260","4,179","5,458","2,786","2,672","2,078","1,174",904,"43,319","23,737","19,582","9,296","4,561","4,735","4,357","3,141","1,216","2,329","1,782",547,"7,144","3,159","3,985","6,408","5,226","1,182","6,217","2,065","4,152","5,181","2,600","2,581","2,387","1,203","1,184","48,015","25,526","22,489","11,314","5,101","6,213","4,994","3,379","1,615","3,223","2,409",814,"7,882","3,358","4,524","7,575","5,829","1,746","5,286","1,662","3,624","5,015","2,462","2,553","2,726","1,326","1,400","54,999","29,596","25,403","12,519","5,578","6,941","5,923","3,935","1,988","3,823","2,880",943,"9,094","3,762","5,332","9,897","7,596","2,301","5,116","1,614","3,502","5,599","2,767","2,832","3,028","1,464","1,564"
proportion,1,0.66,0.34,1,0.68,0.32,1,0.84,0.16,1,0.86,0.14,1,0.58,0.42,1,0.94,0.06,1,0.48,0.52,1,0.59,0.41,1,0.66,0.34,1,0.64,0.36,1,0.63,0.37,1,0.81,0.19,1,0.83,0.17,1,0.53,0.47,1,0.92,0.09,1,0.42,0.58,1,0.57,0.43,1,0.62,0.38,1,0.61,0.4,1,0.58,0.42,1,0.77,0.23,1,0.79,0.21,1,0.49,0.51,1,0.88,0.12,1,0.38,0.62,1,0.54,0.47,1,0.61,0.39,1,0.56,0.44,1,0.53,0.47,1,0.75,0.25,1,0.79,0.21,1,0.45,0.55,1,0.84,0.16,1,0.35,0.65,1,0.51,0.49,1,0.57,0.44,1,0.55,0.45,1,0.49,0.51,1,0.72,0.28,1,0.77,0.24,1,0.44,0.56,1,0.82,0.18,1,0.33,0.67,1,0.5,0.5,1,0.5,0.5,1,0.53,0.47,1,0.45,0.55,1,0.68,0.32,1,0.75,0.25,1,0.43,0.57,1,0.77,0.23,1,0.31,0.69,1,0.49,0.51,1,0.49,0.51,1,0.54,0.46,1,0.45,0.55,1,0.66,0.34,1,0.75,0.25,1,0.41,0.59,1,0.77,0.23,1,0.32,0.69,1,0.49,0.51,1,0.48,0.52
